relative_path,bytes,compressed_bytes,sha256
DATASET_COMPLETO.md,12305,4585,ed7d3b970b12155095de83cf34c72671ecfdc475e7c2adc72b47c6bc8d28dba5
README.md,4347,1855,ccedc438981d8aa5a1b1b659f7c8d6bd58af6eda4329838c32dd4b132436a3e1
raw_traces_README.md,3138,1338,0629dc348e5189bd0b2364f4ff2550dbf04004c5ca5d2512218f3affb7d35d55
sft_train_converted.jsonl,59672150,11598085,69aee7ddaed6b7d55a6792f03ad960e44a10e1974cffe2f184514646f68fd228
sft_train_full_9500.jsonl,57034518,11307430,8b5cead5c539a81761ec00cb43aa32ae5f2b277a4d7a252b98135d5693912a35
sft_reconstructed.jsonl,54328626,11178538,e385421e85881a406144e2e1166961ef21b0b9063077c908f41e626e01681609
sft_train_reconstructed.jsonl,96207995,20555095,1434811d65cbf68fd17d391cb2fce77426183666f59d7cf6ca4fddf8b4fe5a91
solver_results.parquet,123131,93474,78f3688b3881eff61624318ad93d8b29486131840922796ac03330677d417bab
competition_train.csv,3069304,633677,d204af160633b638448723a437aa51c0db70fd0b64ff92f6ad6f52e5ac6377fa
competition_test.csv,1461,614,c59d7eb0464b0a872a0c3f81e60cd6643fc1932a2dedaa05972bfd02cc638589
kaggle_sft_data/dataset_generated.csv,48670122,10801970,dd3160e264585cb1902cdf481c31ac62a2d945a0eb481068eee9f45a56351f0a
kaggle_trajectories/nemotron_traj.csv,139456207,40246525,01da9b309daedf18c9bcff9e0766b3deb7d736a1d350c73ded47775a8b66685e
kaggle_logprob/results/filtered_merged_dataset.csv,50530375,11046179,a541ff9632109783e44fbfe5fa231cc093984f72aa9a045889950050aa134053
